"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1648","LTN1",14.0777370550585,9.81641132818504,112.309894731236,2.54095602538502e-44,5.99157430785789e-41,84.0429605812152
"3426","STK3",14.0448646591874,9.55879524695085,91.5255608375457,2.17532491346981e-41,2.56470807298091e-38,80.2340713550494
"2086","RPL31",12.6492120065409,6.10990111858835,89.5056100465269,4.54022734699994e-41,3.56861869474196e-38,78.9869896474178
"2323","UBASH3B",14.8327739068989,10.0477991474703,72.7698380406653,4.1494470122132e-38,2.44609901369968e-35,74.5106133439761
"1557","ADRA2A",13.1811165589451,7.44242544870607,39.7527916059272,1.61517122811127e-29,7.61714751177277e-27,57.1718333773186
"2923","CDKN2AIPNL",13.0887154342376,9.47010447805592,32.3925551187632,1.2006180404192e-26,4.71842889884746e-24,50.7522977244113
"710","NME1",3.37445410109241,15.868951894159,26.8496670126085,4.79341411894128e-24,1.61469578463765e-21,44.8973474951661
"1947","TM9SF4",-2.79103763949838,15.5193058822152,-26.6856910491313,5.82005834557382e-24,1.71546219735788e-21,44.6962611025233
"1107","GSTM1",2.60926390869368,17.0964289432764,24.7518419117533,6.25387078706663e-23,1.63851414621146e-20,42.3413790000735
"2746","GET4",12.246009782208,9.3336819869835,22.305148104107,1.62177458851266e-21,3.82414447971286e-19,39.0950599955299
"1250","NMT1",-2.63765267740713,15.0844239708332,-20.6662621409934,1.72011287596945e-20,3.68729651048724e-18,36.708751031261
"1755","ALPL",14.2773550661026,11.1340680372451,20.4603839001666,2.34060393274166e-20,4.59928672783737e-18,36.4184637275409
"1427","IAH1",-2.34604538261031,15.4776458244471,-18.6352147008382,4.05633293234159e-19,7.35756388804729e-17,33.5314507847408
"2741","NUP62",3.20647459627152,13.9273669641341,17.8059497590493,1.60252828266758e-18,2.69911549323582e-16,32.1757321066587
"2551","HLA-G",12.4967969941879,9.62238560902949,17.7167935246512,1.86339899878628e-18,2.92926322609204e-16,32.0156605699471
"816","CDC42",-1.25744510671263,17.9261162429016,-17.5561495756271,2.44910035762379e-18,3.60936165204807e-16,31.70055741072
"1459","SLC39A7",3.80083628920664,16.6040907372287,17.3408779517951,3.54374225742229e-18,4.91537896647162e-16,31.3289534081608
"800","SRP72",2.33405819954088,15.5352155218297,16.6319157322667,1.22880349878228e-17,1.60973258340479e-15,30.1032171560411
"452","EIF4B",-1.34704297005653,17.2085006578394,-16.5528869501303,1.41517432282153e-17,1.75630581748061e-15,29.9528095615521
"1879","USP7",12.5887274397333,11.2283914339158,15.9148719716271,4.51385678528029e-17,4.83803377258678e-15,28.8085855546963
"386","DDX39B",-1.23617323940668,17.3052364673675,-15.9323941785142,4.37023095085414e-17,4.83803377258678e-15,28.7904678502799
"790","RPS21",-1.09300278971791,17.8118878419663,-15.9323854489277,4.37030132528574e-17,4.83803377258678e-15,28.7883615661269
"838","GNB1",-1.90522306001111,17.4151741725599,-15.8813518476065,4.80226759051938e-17,4.92336825149769e-15,28.6815095813493
"78","TUBA1A",2.50709715342557,19.1554826232121,15.6746298918353,7.0519737892491e-17,6.92856424793724e-15,28.3194456847306
"278","S100A6",3.15346576738429,20.2489986679372,15.5376205698121,9.11675683344973e-17,8.59892504530978e-15,28.0318118515132
"2773","RND3",-1.22681880137769,16.8833331699277,-15.4841808613299,1.00819952523432e-16,9.14359415577896e-15,27.9451108429099
"1100","STT3B",2.81363438631159,16.6591463406587,15.3648950721082,1.26334794720448e-16,1.10332387389192e-14,27.7539188539344
"2723","SCYL2",2.81994647125016,15.4354553426917,15.0208940035768,2.43975387548673e-16,2.05462129942775e-14,27.0599915380787
"713","POTEI",-3.57341192184558,15.6288200810176,-14.9477714714598,2.81020204915856e-16,2.28498497652272e-14,26.940670445846
"1584","IDH3B",2.86307303747644,17.2979977475337,14.6008094922988,5.53522493563111e-16,4.35068679940606e-14,26.2066196892132
"356","TMOD3",-1.13462843340119,17.2302040104416,-14.1124710535789,1.46679826479424e-15,1.11571300270478e-13,25.2515985962827
"283","YWHAQ",-1.12089477921375,18.7023650625746,-14.0154012432501,1.78552590950061e-15,1.31570940456326e-13,25.0286135671937
